USERID,FEATURES,STATE
2987328,"46,D,M",AGUASCALIENTES           
4417961,"48,S,F",AGUASCALIENTES           
32722801,"67,C,M",AGUASCALIENTES           
2743816,"70,C,F",AGUASCALIENTES           
15657870,"45,S,F",AGUASCALIENTES           
39674179,"27,C,F",AGUASCALIENTES           
7321644,"56,S,F",AGUASCALIENTES           
25295412,"41,U,F",AGUASCALIENTES           
29265722,"27,U,M",AGUASCALIENTES           
42042096,"51,C,M",AGUASCALIENTES           
25295902,"39,C,M",AGUASCALIENTES           
33509079,"44,U,F",AGUASCALIENTES           
21864289,"38,C,M",AGUASCALIENTES           
22525723,"36,C,M",AGUASCALIENTES           
21217920,"37,C,M",AGUASCALIENTES           
32871872,"62,C,M",AGUASCALIENTES           
33433314,"56,S,F",AGUASCALIENTES           
29174826,"54,S,F",BAJA CALIFORNIA NORTE    
27038869,"31,U,F",BAJA CALIFORNIA NORTE    
4647142,"57,C,M",BAJA CALIFORNIA NORTE    
4343336,"48,S,M",BAJA CALIFORNIA NORTE    
6411311,"42,U,M",BAJA CALIFORNIA NORTE    
1036226,"75,C,F",BAJA CALIFORNIA NORTE    
21796150,"63,D,F",BAJA CALIFORNIA NORTE    
14320483,"40,U,F",BAJA CALIFORNIA NORTE    
12281179,"82,S,M",BAJA CALIFORNIA NORTE    
1130485,"74,S,F",BAJA CALIFORNIA NORTE    
11767772,"53,V,F",BAJA CALIFORNIA NORTE    
24917846,"65,U,F",BAJA CALIFORNIA NORTE    
34813746,"25,U,F",BAJA CALIFORNIA NORTE    
1082277,"71,C,F",BAJA CALIFORNIA NORTE    
6409311,"69,C,F",BAJA CALIFORNIA NORTE    
13205248,"45,D,F",BAJA CALIFORNIA NORTE    
1061306,"74,C,M",BAJA CALIFORNIA NORTE    
1047653,"57,C,M",BAJA CALIFORNIA NORTE    
14867362,"56,C,M",BAJA CALIFORNIA NORTE    
12749868,"41,C,M",BAJA CALIFORNIA NORTE    
39151108,"64,C,F",BAJA CALIFORNIA NORTE    
1085383,"64,C,F",BAJA CALIFORNIA NORTE    
5101602,"52,C,M",BAJA CALIFORNIA NORTE    
5101819,"65,C,F",BAJA CALIFORNIA NORTE    
14910768,"46,S,M",BAJA CALIFORNIA NORTE    
731899,"65,C,M",BAJA CALIFORNIA NORTE    
1085973,"72,C,M",BAJA CALIFORNIA NORTE    
7833732,"68,C,F",BAJA CALIFORNIA NORTE    
5193117,"45,S,M",BAJA CALIFORNIA NORTE    
4792724,"66,C,F",BAJA CALIFORNIA NORTE    
5192964,"58,S,F",BAJA CALIFORNIA NORTE    
37556944,"65,C,F",BAJA CALIFORNIA NORTE    
7832468,"62,S,F",BAJA CALIFORNIA NORTE    
29924469,"34,U,F",BAJA CALIFORNIA NORTE    
4195972,"48,S,F",BAJA CALIFORNIA NORTE    
1492207,"72,C,F",BAJA CALIFORNIA NORTE    
1181407,"55,C,M",BAJA CALIFORNIA NORTE    
14034701,"39,C,M",BAJA CALIFORNIA NORTE    
8789939,"69,C,F",BAJA CALIFORNIA NORTE    
1015371,"60,S,F",BAJA CALIFORNIA NORTE    
4156396,"63,C,F",BAJA CALIFORNIA NORTE    
14041318,"37,U,F",BAJA CALIFORNIA NORTE    
6308338,"38,U,F",BAJA CALIFORNIA NORTE    
29748872,"59,S,F",BAJA CALIFORNIA NORTE    
8254507,"47,S,F",BAJA CALIFORNIA NORTE    
36807407,"67,V,F",BAJA CALIFORNIA NORTE    
30192140,"47,D,F",BAJA CALIFORNIA NORTE    
254735,"49,S,F",BAJA CALIFORNIA NORTE    
18542307,"68,S,F",BAJA CALIFORNIA NORTE    
6897810,"56,C,M",BAJA CALIFORNIA NORTE    
26766051,"49,U,M",BAJA CALIFORNIA NORTE    
36477865,"56,U,F",BAJA CALIFORNIA NORTE    
6350525,"60,S,M",BAJA CALIFORNIA NORTE    
25081924,"41,C,M",BAJA CALIFORNIA NORTE    
25408169,"53,C,M",BAJA CALIFORNIA NORTE    
17594055,"72,C,F",BAJA CALIFORNIA NORTE    
33508196,"50,C,M",BAJA CALIFORNIA NORTE    
24620052,"52,D,F",BAJA CALIFORNIA NORTE    
23433858,"29,U,M",BAJA CALIFORNIA NORTE    
3926894,"42,S,M",BAJA CALIFORNIA NORTE    
25118566,"24,S,M",BAJA CALIFORNIA NORTE    
30831262,"41,C,M",BAJA CALIFORNIA NORTE    
29748562,"46,U,F",BAJA CALIFORNIA NORTE    
33505295,"27,U,M",BAJA CALIFORNIA NORTE    
34957579,"24,S,F",BAJA CALIFORNIA NORTE    
28051600,"30,U,F",BAJA CALIFORNIA NORTE    
37123237,"28,C,F",BAJA CALIFORNIA NORTE    
28036427,"38,S,M",BAJA CALIFORNIA NORTE    
30498787,"49,D,F",BAJA CALIFORNIA NORTE    
27848905,"58,C,M",BAJA CALIFORNIA NORTE    
32539328,"30,C,M",BAJA CALIFORNIA NORTE    
23073988,"32,U,M",BAJA CALIFORNIA NORTE    
15207776,"47,U,F",BAJA CALIFORNIA NORTE    
34514544,"68,C,M",BAJA CALIFORNIA NORTE    
28068091,"55,S,M",BAJA CALIFORNIA NORTE    
38256899,"34,U,M",BAJA CALIFORNIA NORTE    
24961154,"38,U,F",BAJA CALIFORNIA NORTE    
33111467,"35,U,M",BAJA CALIFORNIA NORTE    
17306541,"56,C,M",BAJA CALIFORNIA NORTE    
29914644,"30,C,F",BAJA CALIFORNIA NORTE    
14740125,"33,C,M",BAJA CALIFORNIA NORTE    
32196439,"58,S,F",BAJA CALIFORNIA NORTE    
17595055,"34,S,M",BAJA CALIFORNIA NORTE    
32474787,"46,S,M",BAJA CALIFORNIA NORTE    
21184057,"54,D,F",BAJA CALIFORNIA NORTE    
20023754,"58,C,M",BAJA CALIFORNIA NORTE    
36497275,"37,C,M",BAJA CALIFORNIA NORTE    
23750733,"52,S,F",BAJA CALIFORNIA NORTE    
32941230,"34,U,F",BAJA CALIFORNIA NORTE    
