ID_CTE,ID_FAM,FREQUENCY
28194745,106055,20
13133381,701305,40
10055062,701305,24
26031567,701305,16
28555945,742013,18
5779629,313064,17
18027445,313229,18
38046877,705357,17
28465942,106055,42
25688853,181009,23
1198753,318203,20
31857260,537003,22
24351378,312150,17
17327016,313155,42
5615810,106055,29
12295099,319061,16
22896617,701305,16
35357356,701305,21
21089892,701305,16
32690997,999001,19
5896264,104014,16
18061771,701305,20
33782452,798009,85
23310322,224065,16
30491835,701305,22
10613927,314129,19
874862,106055,16
24885853,701305,19
12275313,752051,18
5638054,314063,19
33939907,701305,17
32313505,106055,20
27149207,701305,16
5531693,301012,19
37323714,751026,26
7690059,282006,18
29475393,705357,21
38160464,106055,17
26670153,314235,16
15148904,701305,35
28156309,860048,20
18162047,314235,17
15448671,314235,18
15381401,224041,17
5907530,314129,20
27740688,752071,21
37703465,630015,16
27308508,855022,72
1630628,314064,17
389596,314129,17
17434465,423132,17
25653968,413238,16
4426254,102012,18
19721049,102011,19
21877604,106059,20
12111635,413238,26
38684891,148002,21
18647998,751363,16
4605098,420092,17
28625211,701305,16
22847885,742304,18
25175264,106055,26
30845418,314129,19
27743678,752081,17
10502165,314235,22
6176740,458020,17
1137135,381009,37
1912093,701305,17
15375177,701305,16
21357047,224057,22
5902508,314156,39
5581289,106234,16
14868953,701305,30
13548196,701305,16
17771463,319064,19
1953424,102017,16
28271369,282071,23
21759701,314129,17
36645540,224033,48
21379511,706361,17
26220028,224057,19
18607870,318009,19
15670840,775260,18
27804987,313155,17
25828497,413238,21
16927868,862003,17
12581856,384218,18
8325467,224065,21
17839939,751363,21
22410400,319064,19
30422944,787254,22
18651674,701305,17
33564838,315120,16
22403918,106003,23
7203402,106055,16
26651148,498009,16
4827177,706361,18
22882029,381009,24
34843500,104014,16
15758808,245010,19
19441814,319162,22
20955138,314129,17
13400089,856231,20
10743463,314129,18
34893355,752051,16
33070001,312150,16
24643133,319064,17
1166374,701305,16
27295394,701305,16
213369,106055,20
15747320,231003,24
28684164,701305,16
16796565,314129,17
35198282,102011,19
15970773,776265,16
29600449,106055,22
14766565,318009,22
16321804,314129,22
23909693,701305,19
5350432,106055,34
32069810,314063,16
25153327,701305,19
23696495,224057,40
138654,314063,20
32670828,290059,16
37144680,752051,23
20030464,314129,19
21275721,999001,20
35238999,318009,20
14058249,381009,20
21523030,319062,17
19004043,224041,22
17659964,224065,17
20878039,381009,19
39416790,282071,16
26047646,398009,25
19227808,701305,16
14238448,705357,26
14653708,311315,18
30453998,106055,17
11905362,314129,34
21373574,319064,18
33575695,314235,16
20077927,106054,20
16531880,537020,17
31918844,224041,16
8308803,224025,31
16803096,314063,19
