id_Familia,Departamento,0
1101063,CABALLEROS,3
1102413,CABALLEROS,1
1104120,CABALLEROS,13
1105246,CABALLEROS,8
1106035,CABALLEROS,8
1106051,CABALLEROS,8
1106233,CABALLEROS,2
1125414,CABALLEROS,2
1194032,CABALLEROS,3
1210086,NIÑOS,12
1213683,NIÑOS,2
1214685,NIÑOS,2
1291055,NIÑOS,16
1293068,NIÑOS,14
1301402,DAMAS,1
1303146,DAMAS,69
1305032,DAMAS,1
1307475,DAMAS,7
1310027,DAMAS,2
1310041,DAMAS,42
1310149,DAMAS,4
1312137,DAMAS,8
1316633,DAMAS,8
1317161,DAMAS,48
1319066,DAMAS,1
1321115,DAMAS,1
1323247,DAMAS,4
1323248,DAMAS,40
1326003,DAMAS,25
1326083,DAMAS,7
1326086,DAMAS,5
1326099,DAMAS,8
1326113,DAMAS,7
1326115,DAMAS,4
1326203,DAMAS,5
1326205,DAMAS,30
1326421,DAMAS,1
1327559,DAMAS,1
1327560,DAMAS,1
1329499,DAMAS,1
1330508,DAMAS,1
1334661,DAMAS,1
1334662,DAMAS,1
1334663,DAMAS,1
1335668,DAMAS,3
1336720,DAMAS,3
1337714,DAMAS,1
1337715,DAMAS,5
1337716,DAMAS,3
1338718,DAMAS,3
1338719,DAMAS,3
1353275,DAMAS,1
1353290,DAMAS,1
1353324,DAMAS,23
1373041,DAMAS,9
1380161,DAMAS,70
1380285,DAMAS,87
1401411,NIÑAS,3
1409104,NIÑAS,4
1409117,NIÑAS,3
1409134,NIÑAS,7
1410215,NIÑAS,5
1410219,NIÑAS,1
1410220,NIÑAS,2
1410221,NIÑAS,4
1410222,NIÑAS,4
1410223,NIÑAS,7
1412636,NIÑAS,5
1419104,NIÑAS,8
1419134,NIÑAS,10
1478048,NIÑAS,6
1478049,NIÑAS,7
1505689,BBS,6
1505693,BBS,1
1536002,BBS,1
1543016,BBS,25
1586117,BBS,2
1594002,BBS,10
1595001,BBS,5
1595002,BBS,2
1596010,BBS,1
1596049,BBS,6
1596118,BBS,5
1596195,BBS,17
1603432,BLANCOS,22
1647093,BLANCOS,43
1647094,BLANCOS,45
1701008,PERF COSM,1
1701061,PERF COSM,15
1701063,PERF COSM,3
1701065,PERF COSM,9
1701070,PERF COSM,1
1717745,PERF COSM,8
1739320,PERF COSM,58
1739337,PERF COSM,1
1739338,PERF COSM,1
1742011,PERF COSM,23
1742012,PERF COSM,7
1742013,PERF COSM,24
1742014,PERF COSM,14
1742016,PERF COSM,19
1742026,PERF COSM,36
1742030,PERF COSM,4
1742101,PERF COSM,6
1742303,PERF COSM,10
1742304,PERF COSM,1
1748017,PERF COSM,23
1748018,PERF COSM,14
1748019,PERF COSM,15
1748021,PERF COSM,3
1748022,PERF COSM,3
1748024,PERF COSM,7
1748030,PERF COSM,15
1748103,PERF COSM,1
1749001,PERF COSM,10
1750015,PERF COSM,1
1750392,PERF COSM,54
1796165,PERF COSM,105
1796629,PERF COSM,4
1855198,ZAPATERIA,1
1859020,ZAPATERIA,1
1863024,ZAPATERIA,1
1865047,ZAPATERIA,1
1870197,ZAPATERIA,1
1871174,ZAPATERIA,3
1871197,ZAPATERIA,14
1871200,ZAPATERIA,8
2127004,DOMESTICOS,2
2127005,DOMESTICOS,4
2136007,DOMESTICOS,3
2139001,DOMESTICOS,2
2144007,DOMESTICOS,6
2144014,DOMESTICOS,1
2145001,DOMESTICOS,2
2145002,DOMESTICOS,1
2145003,DOMESTICOS,1
2146014,DOMESTICOS,2
2151003,DOMESTICOS,1
2154001,DOMESTICOS,2
2154002,DOMESTICOS,1
2154003,DOMESTICOS,1
2154004,DOMESTICOS,1
2154006,DOMESTICOS,1
2166004,DOMESTICOS,6
2181007,DOMESTICOS,3
2187003,DOMESTICOS,1
2187006,DOMESTICOS,2
2190001,DOMESTICOS,17
2191001,DOMESTICOS,1
2194009,DOMESTICOS,1
2194014,DOMESTICOS,3
2194019,DOMESTICOS,2
2194024,DOMESTICOS,1
2194027,DOMESTICOS,1
2197001,DOMESTICOS,4
2202003,ELECTRONICA,6
2202005,ELECTRONICA,2
2202010,ELECTRONICA,1
2203001,ELECTRONICA,5
2203002,ELECTRONICA,3
2203003,ELECTRONICA,3
2203004,ELECTRONICA,3
2204012,ELECTRONICA,3
2204019,ELECTRONICA,3
2205001,ELECTRONICA,3
2205003,ELECTRONICA,3
2205004,ELECTRONICA,5
2205005,ELECTRONICA,7
2206001,ELECTRONICA,5
2206002,ELECTRONICA,3
2206004,ELECTRONICA,3
2206005,ELECTRONICA,3
2209001,ELECTRONICA,5
2210003,ELECTRONICA,16
2210013,ELECTRONICA,19
2210021,ELECTRONICA,6
2210027,ELECTRONICA,15
2210030,ELECTRONICA,6
2210035,ELECTRONICA,39
2210040,ELECTRONICA,11
2210045,ELECTRONICA,37
2211001,ELECTRONICA,20
2215003,ELECTRONICA,1
2216006,ELECTRONICA,3
2216008,ELECTRONICA,1
2217002,ELECTRONICA,1
2219008,ELECTRONICA,2
2219009,ELECTRONICA,3
2219080,ELECTRONICA,2
2220005,ELECTRONICA,6
2221001,ELECTRONICA,2
2222002,ELECTRONICA,1
2222004,ELECTRONICA,2
2222005,ELECTRONICA,5
2222010,ELECTRONICA,1
2223010,ELECTRONICA,19
2227031,ELECTRONICA,22
2228017,ELECTRONICA,4
2228018,ELECTRONICA,12
2228070,ELECTRONICA,14
2229090,ELECTRONICA,1
2240005,ELECTRONICA,9
2240006,ELECTRONICA,2
2240009,ELECTRONICA,1
2242013,ELECTRONICA,6
2242014,ELECTRONICA,2
2243040,ELECTRONICA,4
2266004,ELECTRONICA,2
2266010,ELECTRONICA,1
2280003,ELECTRONICA,5
2280007,ELECTRONICA,5
2294004,ELECTRONICA,1
2295035,ELECTRONICA,2
2295056,ELECTRONICA,5
2298002,ELECTRONICA,6
2298003,ELECTRONICA,1
2298004,ELECTRONICA,4
2303008,MUEBLE SUELTO,3
2314016,MUEBLE SUELTO,2
2316032,MUEBLE SUELTO,9
2316034,MUEBLE SUELTO,1
2316036,MUEBLE SUELTO,1
2316038,MUEBLE SUELTO,1
2318008,MUEBLE SUELTO,1
2318014,MUEBLE SUELTO,2
2324002,MUEBLE SUELTO,3
2324006,MUEBLE SUELTO,2
2324008,MUEBLE SUELTO,1
2326006,MUEBLE SUELTO,3
2327006,MUEBLE SUELTO,3
2328008,MUEBLE SUELTO,1
2332010,MUEBLE SUELTO,3
2332016,MUEBLE SUELTO,3
2334013,MUEBLE SUELTO,2
2336010,MUEBLE SUELTO,5
2336032,MUEBLE SUELTO,2
2342007,MUEBLE SUELTO,1
2343012,MUEBLE SUELTO,1
2344006,MUEBLE SUELTO,3
2346002,MUEBLE SUELTO,1
2346004,MUEBLE SUELTO,1
2346006,MUEBLE SUELTO,3
2346008,MUEBLE SUELTO,2
2346010,MUEBLE SUELTO,1
2346014,MUEBLE SUELTO,1
2348006,MUEBLE SUELTO,3
2348016,MUEBLE SUELTO,1
2350006,MUEBLE SUELTO,1
2350008,MUEBLE SUELTO,2
2350010,MUEBLE SUELTO,1
2352008,MUEBLE SUELTO,2
2352010,MUEBLE SUELTO,4
2352012,MUEBLE SUELTO,1
2380015,MUEBLE SUELTO,1
2401015,"SALAS, RECAMARAS, COMEDORES",1
2401020,"SALAS, RECAMARAS, COMEDORES",1
2405002,"SALAS, RECAMARAS, COMEDORES",16
2415010,"SALAS, RECAMARAS, COMEDORES",1
2415011,"SALAS, RECAMARAS, COMEDORES",1
2430004,"SALAS, RECAMARAS, COMEDORES",2
2450002,"SALAS, RECAMARAS, COMEDORES",2
2450004,"SALAS, RECAMARAS, COMEDORES",2
2450030,"SALAS, RECAMARAS, COMEDORES",4
2450031,"SALAS, RECAMARAS, COMEDORES",2
2450040,"SALAS, RECAMARAS, COMEDORES",5
2450041,"SALAS, RECAMARAS, COMEDORES",2
2450045,"SALAS, RECAMARAS, COMEDORES",3
2450046,"SALAS, RECAMARAS, COMEDORES",2
2450055,"SALAS, RECAMARAS, COMEDORES",2
2452040,"SALAS, RECAMARAS, COMEDORES",2
2452050,"SALAS, RECAMARAS, COMEDORES",4
2452055,"SALAS, RECAMARAS, COMEDORES",5
2454005,"SALAS, RECAMARAS, COMEDORES",2
2454045,"SALAS, RECAMARAS, COMEDORES",3
2455001,"SALAS, RECAMARAS, COMEDORES",4
2455005,"SALAS, RECAMARAS, COMEDORES",2
2455025,"SALAS, RECAMARAS, COMEDORES",3
2455030,"SALAS, RECAMARAS, COMEDORES",2
2455035,"SALAS, RECAMARAS, COMEDORES",2
2456010,"SALAS, RECAMARAS, COMEDORES",3
2456025,"SALAS, RECAMARAS, COMEDORES",7
2456030,"SALAS, RECAMARAS, COMEDORES",3
2456040,"SALAS, RECAMARAS, COMEDORES",2
2456045,"SALAS, RECAMARAS, COMEDORES",3
2456060,"SALAS, RECAMARAS, COMEDORES",2
2457010,"SALAS, RECAMARAS, COMEDORES",12
2457015,"SALAS, RECAMARAS, COMEDORES",1
2457020,"SALAS, RECAMARAS, COMEDORES",2
2459005,"SALAS, RECAMARAS, COMEDORES",9
2459015,"SALAS, RECAMARAS, COMEDORES",9
2459030,"SALAS, RECAMARAS, COMEDORES",1
2460001,"SALAS, RECAMARAS, COMEDORES",2
2460030,"SALAS, RECAMARAS, COMEDORES",3
2460035,"SALAS, RECAMARAS, COMEDORES",2
2465003,"SALAS, RECAMARAS, COMEDORES",2
2465005,"SALAS, RECAMARAS, COMEDORES",1
2465006,"SALAS, RECAMARAS, COMEDORES",1
2480002,"SALAS, RECAMARAS, COMEDORES",1
2481001,"SALAS, RECAMARAS, COMEDORES",2
2483010,"SALAS, RECAMARAS, COMEDORES",2
2485001,"SALAS, RECAMARAS, COMEDORES",1
2485005,"SALAS, RECAMARAS, COMEDORES",1
2491010,"SALAS, RECAMARAS, COMEDORES",4
2491025,"SALAS, RECAMARAS, COMEDORES",5
2491030,"SALAS, RECAMARAS, COMEDORES",8
2492020,"SALAS, RECAMARAS, COMEDORES",25
2492025,"SALAS, RECAMARAS, COMEDORES",5
2492040,"SALAS, RECAMARAS, COMEDORES",6
2501035,BICICLETAS/BEBES/AUTOMOTRIZ,2
2503001,BICICLETAS/BEBES/AUTOMOTRIZ,1
2503046,BICICLETAS/BEBES/AUTOMOTRIZ,5
2521001,BICICLETAS/BEBES/AUTOMOTRIZ,1
2525015,BICICLETAS/BEBES/AUTOMOTRIZ,1
2530010,BICICLETAS/BEBES/AUTOMOTRIZ,5
2530020,BICICLETAS/BEBES/AUTOMOTRIZ,6
2530025,BICICLETAS/BEBES/AUTOMOTRIZ,1
2531020,BICICLETAS/BEBES/AUTOMOTRIZ,1
2531055,BICICLETAS/BEBES/AUTOMOTRIZ,8
2535015,BICICLETAS/BEBES/AUTOMOTRIZ,4
2580099,BICICLETAS/BEBES/AUTOMOTRIZ,1
2584002,BICICLETAS/BEBES/AUTOMOTRIZ,15
2606008,LINEA BLANCA,1
2608003,LINEA BLANCA,1
2611004,LINEA BLANCA,1
2701003,RELOJERIA,1
2801001,JOYERIA,1
2801004,JOYERIA,2
2805005,JOYERIA,2
2805036,JOYERIA,1
2806090,JOYERIA,1
2807019,JOYERIA,2
2807090,JOYERIA,2
2808008,JOYERIA,1
2808009,JOYERIA,1
2809005,JOYERIA,2
2821021,JOYERIA,1
2821090,JOYERIA,2
2824002,JOYERIA,6
2824003,JOYERIA,2
2824026,JOYERIA,1
2825001,JOYERIA,1
2825002,JOYERIA,1
2825021,JOYERIA,2
2826001,JOYERIA,1
2826003,JOYERIA,2
2827001,JOYERIA,4
2827002,JOYERIA,1
2827004,JOYERIA,1
2827024,JOYERIA,1
2828002,JOYERIA,2
2828021,JOYERIA,1
2828090,JOYERIA,3
2831001,JOYERIA,1
2831006,JOYERIA,2
2841090,JOYERIA,2
2845020,JOYERIA,1
2845090,JOYERIA,6
2846090,JOYERIA,2
2860002,JOYERIA,2
2902001,OPTICA,5
2985002,OPTICA,3
2985003,OPTICA,6
2995004,OPTICA,12
2996005,OPTICA,10
