id_Familia,Departamento,Clase,Familia,Categoria,Subcategoria
1101002,CABALLEROS,ACCESORIOS,NOVEDADES,Caballeros Accesorios,Caballeros Accesorios
1101003,CABALLEROS,ACCESORIOS,BILLETERA,Caballeros Accesorios,Caballeros Accesorios
1101004,CABALLEROS,ACCESORIOS,GORRA,Caballeros Accesorios,Caballeros Accesorios
1101027,CABALLEROS,ACCESORIOS,CINTO MODA,Caballeros Accesorios,Caballeros Accesorios
1101028,CABALLEROS,ACCESORIOS,CINTO VESTIR,Caballeros Accesorios,Caballeros Accesorios
1101063,CABALLEROS,ACCESORIOS,PAÑUELO,Caballeros Accesorios,Caballeros Accesorios
1101083,CABALLEROS,ACCESORIOS,PLUMAS,Caballeros Accesorios,Caballeros Accesorios
1101342,CABALLEROS,ACCESORIOS,MESSENGER,Caballeros Accesorios,Caballeros Accesorios
1101649,CABALLEROS,ACCESORIOS,LENTES SOLARES,Caballeros Accesorios,Caballeros Accesorios
1101650,CABALLEROS,ACCESORIOS,RELOJES,Caballeros Accesorios,Caballeros Accesorios
1101651,CABALLEROS,ACCESORIOS,ESTUCHE REGALO,Caballeros Accesorios,Caballeros Accesorios
1102010,CABALLEROS,CALCETERIA,CALCETA DEPORTIVA,Interior y Calceteria,Interior y Calceteria
1102011,CABALLEROS,CALCETERIA,CALCETA DEPORTIVA TIN,Interior y Calceteria,Interior y Calceteria
1102012,CABALLEROS,CALCETERIA,CALCETA VESTIR ALGODO,Interior y Calceteria,Interior y Calceteria
1102013,CABALLEROS,CALCETERIA,CALCETA CORTA MODA,Interior y Calceteria,Interior y Calceteria
1102016,CABALLEROS,CALCETERIA,CAMISETA,Interior y Calceteria,Interior y Calceteria
1102017,CABALLEROS,CALCETERIA,PLAYERA CUELLO V,Interior y Calceteria,Interior y Calceteria
1102018,CABALLEROS,CALCETERIA,PLAYERA CUELLO REDOND,Interior y Calceteria,Interior y Calceteria
1102025,CABALLEROS,CALCETERIA,BOXER,Interior y Calceteria,Interior y Calceteria
1102040,CABALLEROS,CALCETERIA,BIKINI,Interior y Calceteria,Interior y Calceteria
1102067,CABALLEROS,CALCETERIA,PIJAMA INVIERNO,Caballero Exterior,Caballero Exterior
1102088,CABALLEROS,CALCETERIA,TRUSA,Interior y Calceteria,Interior y Calceteria
1102089,CABALLEROS,CALCETERIA,BOXER CORTO,Interior y Calceteria,Interior y Calceteria
1102097,CABALLEROS,CALCETERIA,PLAYERA ML,Interior y Calceteria,Interior y Calceteria
1102164,CABALLEROS,CALCETERIA,BOXER LARGO,Interior y Calceteria,Interior y Calceteria
1102183,CABALLEROS,CALCETERIA,PLAYERA TERMICA,Interior y Calceteria,Interior y Calceteria
1102389,CABALLEROS,CALCETERIA,CALCETA GRUESA,Interior y Calceteria,Interior y Calceteria
1102413,CABALLEROS,CALCETERIA,CONTROL TOPS,Interior y Calceteria,Interior y Calceteria
1102414,CABALLEROS,CALCETERIA,CONTROL BOTTOMS,Interior y Calceteria,Interior y Calceteria
1102445,CABALLEROS,CALCETERIA,CALCETA INVISIBLE,Interior y Calceteria,Interior y Calceteria
1102488,CABALLEROS,CALCETERIA,CALCETA SALUD CAB,Interior y Calceteria,Interior y Calceteria
1102562,CABALLEROS,CALCETERIA,CALCETA MODA LARGA,Interior y Calceteria,Interior y Calceteria
1103001,CABALLEROS,DEPORTE VERANO,JGO PANTS DEPOR MARCA,Deportivo,Deportivo
1103079,CABALLEROS,DEPORTE VERANO,SHORT,Deportivo,Deportivo
1103087,CABALLEROS,DEPORTE VERANO,TRAJE BAÑO,Caballero Exterior,Caballero Exterior
1103239,CABALLEROS,DEPORTE VERANO,BALONES,Deportivo,Deportivo
1103246,CABALLEROS,DEPORTE VERANO,PANTALON DEPORTIVO,Deportivo,Deportivo
1103299,CABALLEROS,DEPORTE VERANO,ACCESORIOS DEPORTIVOS,Deportivo,Deportivo
1103397,CABALLEROS,DEPORTE VERANO,SHORT MARCAS,Deportivo,Deportivo
